"(eg: domain.com/identifier)","(例如：domain.com/identifier)"
"Action","操作"
"Add New Block","添加新区块"
"Add New Page","添加新页面"
"All countries","所有国家"
"Block Information","区块信息"
"Block Title","区块标题"
"Block was successfully deleted","成功删除区块"
"Block was successfully saved","成功保存方框"
"CMS","CMS"
"CMS Home Page","CMS首页"
"CMS No Route Page","CMS No Route页）"
"Content","内容"
"Custom Design","自定义设计"
"Custom Theme","自定义模版"
"Custom Theme From","自定义主题自"
"Custom Theme To","自定义主题到"
"Customer Tax Class Information","顾客税种信息"
"Date Created","创建日期"
"Delete Block","删除区块"
"Delete Page","删除页面"
"Description","说明"
"Disabled","关闭"
"Edit Block","编辑区块"
"Edit Block '%s'","编辑区块：'%s'"
"Edit Page","编辑页面"
"Edit Page '%s'","编辑页面：'%s'"
"Enabled","已开启"
"General Information","基本信息"
"Go to Home Page","回首页"
"Home","首页"
"Identifier","标识符（Identifier）"
"Keywords","关键字"
"Last Modified","最后修改"
"Layout","版面（Layout）"
"Layout Update XML","XML版面更新"
"Manage Pages","页面管理"
"Meta Data","Meta数据（用于SEO优化）"
"Meta Description","Meta说明"
"Meta Keywords","Meta关键字"
"New Block","新区块"
"New Page","新页面"
"Page Identifier cannot consist only of numbers.","页面标识符不能只含数字。"
"Page Identifier for specified store already exist.","输入的商店页面标识符已存在。"
"Page Information","页面信息"
"Page Status","页面状态"
"Page Title","页面标题"
"Page was successfully deleted","成功删除页面"
"Page was successfully saved","成功保存页面"
"Poll Manager","投票管理"
"Product Tax Class Information","商品税种信息"
"SEF URL Identifier","搜索引擎友好网址的标识符"
"Save Block","储存区块"
"Save Page","储存页面"
"Show breadcrumbs for CMS pages","显示CMS页面导航条"
"Static Blocks","固定方框/区块(功能：适用于页面的任何地方)"
"Status","状态"
"Store View","商店界面"
"Such a block identifier in selected store already exist.","选择商店的方框标识符已存在。"
"The page you are trying to save no longer exists","要保存的页面不存在"
"This block no longer exists","该方框不存在"
"This page no longer exists","该页面不存在"
"Title","标题"
"Unable to find a block to delete","没有找到要删除的方框"
"Unable to find a page to delete","没有找到要删除的页面"
"HOME","首页"
"BRAND","品牌"
"HISTORY","大事记"
"EVENTS","新闻"
"PRODUCT","产品"
"CAMPAIGN","视觉形象大片"
"LOOK BOOK","产品目录"
"STREET SNAP","型格街拍大赏"
"STORE","门店"
"STAR STORE","明星门店"
"STORE LOCATOR","门店查找"
"VIP CLUB","会员"
"LILY CLUB","Lily 会员"
"TERMS","条款"
"POINT CHECKING","积分查看"
"REDEMPTION","积分兑换"
"MEMBER<br>REGISTRATION","会员注册"
"JOB","招聘"
"CONTACT","联系我们"
"PRIVACY","法律法规"
"Account informations","帐号信息"
"My wishlist","我的收藏"
"MY WISHLIST","我的收藏"
"Point informations","积分明细"
"point<br>history","积分兑换订单"
"Giftcard","礼品车"
"E-coupon","电子券"
"LOGOUT","退出"
"Hi","您好"
"Welcome to Lily Club","欢迎来到Lily会员中心"
"Your remaining points","您的可用积分为:"
"are %s point(s)","%s分"
"Terms of lily membership", "会员章程"
"Remember me", "记住我"
"Forget your Password", "忘记密码"
"Retrieve your password here", ""
"Please enter your email address below. You will receive a link to reset your password.","输入邮箱地址。您将会收到重置密码的邮件。"
"<p>Welcome to be a member of Lily club! </p>If you are not a lily club member, you can click the “Register Now” button to be our member. Free 200 points upon registration, countable with off-line purchases.","<p>欢迎来到Lily club! </p>如果您还不是Lily的会员，可以单击“立即注册”成为我们的粉丝。<br/>注册即送200积分，累计线下消费"
