"%s Item(s)","%s件商品"
"&copy; 2008 Magento Demo Store. All Rights Reserved.","&copy; 2011 Magento演示商店。 版权所有。"
"(Shift-)Click or drag to change value","(Shift-)点击（Click）或拖弋（drag）以更换值"
"(ver. %s)","（版本 %s）"
"- Click on any of the time parts to increase it","- 点击任何时间部分以增加它"
"- Hold mouse button on any of the above buttons for faster selection.","- 点按鼠标纽于上面任何按钮以加速选择。"
"- Use the %s buttons to select month","- 使用 %s 按钮以选择月份。"
"- Use the %s, %s buttons to select year","- 使用 %s 和 %s 按钮以选择年份。"
"- or Shift-click to decrease it","- 或同时按下Shift健和按鼠标纽（Shift-click）以减少选择。"
"- or click and drag for faster selection.","-或点击（Click）和拖弋（drag）以以加速选择。"
"About the calendar","日历器"
"Click <a href=""%s"">here</a> if nothing has happened","若没动静， <a href=""%s"">点击这里</a>。"
"Close","关闭"
"Close Window","关闭窗口"
"DHTML Date/Time Selector","DHTML 日期/时间选择"
"Date selection:","日期选择:"
"Default Description","默认描述"
"Default welcome msg!","默认欢迎信息!"
"Display %s first","现显示 %s"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details."
"Drag to move","拖弋移动"
"For latest version visit: %s","最新版本请拜访: %s"
"Go Today","Go Today"
"Help Us to Keep Magento Healthy","协助我们完善 Magento"
"Interface Language","语言界面"
"Items %s to %s of %s total","%s至%s之%s件商品"
"Next Page","下一页"
"Next month (hold for menu)","下个月（点击鼠标直到菜单出现）"
"Next year (hold for menu)","明年（点击鼠标直到菜单出现）"
"Page:","页："
"Prev. month (hold for menu)","上个月（点击鼠标直到菜单出现）"
"Prev. year (hold for menu)","前年（点击鼠标直到菜单出现）"
"Previous Page","上一页"
"Redirecting...","跳转至..."
"Report All Bugs","报告所有错误。"
"Select Store","选择商店"
"Select date","选择日期"
"Show","显示"
"Skip to Footer","Skip to Footer"
"Skip to Left Column","Skip to Left Column"
"Skip to Main Content","转到主页眉"
"Skip to Right Column","Skip to Right Column"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","这是演示商店，所有的订单将不受理。"
"Time selection:","时间选择:"
"Time:","时间:"
"Welcome, %s!","欢迎%s!"
"You're currently on:","当前登录帐号："
"Your Language","您的语言"
"Your Language:","您的语言:"
"per page","件"
"Your Language:","Your Language:"
"(ver. %s)","(ver. %s)"
"Help Us to Keep Magento Healthy","Help Us to Keep Magento Healthy"
"Report All Bugs","Report All Bugs"
"Your Language","Your Language"
"Please Select Province", "请先选择省市"
"Please Select One", "请选择"
"Your Telephone Is Wrong.","手机号有误，请确认填写的手机号是否为线下注册时填写的号码。"
"You Are Online ","您已是在线用户"


